#{"t_start": 1774405473.761944, "env_id": "None"}
r,l,t
-100.0,100,1.357265
-100.0,100,2.024385
-100.0,100,2.610716
-100.0,100,3.202735
-100.0,100,3.786729
-100.0,100,4.352956
-100.0,100,5.021992
-100.0,100,5.614765
-100.0,100,6.200506
-100.0,100,6.802344
-100.0,100,7.513881
-100.0,100,8.133185
-100.0,100,8.74311
-100.0,100,9.365253
-100.0,100,10.051343
-100.0,100,10.642517
-100.0,100,11.290275
-100.0,100,11.921563
-100.0,100,12.630837
-100.0,100,13.33444
-100.0,100,13.950584
-100.0,100,14.663867
-100.0,100,15.336442
-100.0,100,15.975541
-100.0,100,16.568177
-100.0,100,17.173034
-100.0,100,17.812902
-100.0,100,18.400521
-100.0,100,19.046581
-100.0,100,19.694039
-100.0,100,20.297434
-100.0,100,20.899693
-100.0,100,21.529753
-100.0,100,22.177421
-100.0,100,22.810457
-100.0,100,23.379601
-100.0,100,24.016352
-100.0,100,24.611902
-100.0,100,25.198404
-100.0,100,25.784273
-100.0,100,26.375889
-100.0,100,27.001397
-100.0,100,27.661137
-100.0,100,28.289901
-100.0,100,28.924908
-100.0,100,29.584121
-100.0,100,30.218965
-100.0,100,30.826936
-100.0,100,31.440899
-100.0,100,32.022592
-100.0,100,32.706558
-100.0,100,33.311837
-100.0,100,33.949662
-100.0,100,34.587226
-100.0,100,35.225159
-100.0,100,35.792392
-100.0,100,36.368761
-100.0,100,37.025605
-100.0,100,37.635937
-100.0,100,38.254655
-100.0,100,38.846508
-100.0,100,39.429943
-100.0,100,40.009862
-100.0,100,40.582325
-100.0,100,41.168956
-100.0,100,41.750817
-100.0,100,42.328455
-100.0,100,42.897419
-100.0,100,43.516643
-100.0,100,44.111818
-100.0,100,44.740523
-100.0,100,45.340874
-100.0,100,46.134187
-100.0,100,46.92965
-100.0,100,47.607275
-100.0,100,48.246663
-100.0,100,48.90943
-100.0,100,49.562774
-100.0,100,50.168152
-100.0,100,50.736748
-100.0,100,51.31031
-100.0,100,51.91115
-100.0,100,52.493753
-100.0,100,53.064599
-100.0,100,53.642435
-100.0,100,54.225228
-100.0,100,54.807097
-100.0,100,55.382666
-100.0,100,55.962351
-100.0,100,56.546135
-100.0,100,57.141583
-100.0,100,57.8278
-100.0,100,58.432172
-100.0,100,59.027552
-100.0,100,59.61
-100.0,100,60.187149
-100.0,100,60.761137
-100.0,100,61.347324
-100.0,100,61.940384
-100.0,100,62.523046
-100.0,100,65.178084
-100.0,100,65.785515
-100.0,100,66.412777
-100.0,100,67.214803
-100.0,100,67.878092
-100.0,100,68.541426
-100.0,100,69.239838
-100.0,100,70.026972
-100.0,100,70.823511
-100.0,100,71.429177
-100.0,100,72.024573
-100.0,100,72.606095
-100.0,100,73.204406
-100.0,100,73.908229
-100.0,100,74.592953
