#{"t_start": 1774404020.1122737, "env_id": "None"}
r,l,t
-100.0,100,2.92065
-100.0,100,5.27458
-100.0,100,7.801098
-100.0,100,10.343788
-100.0,100,12.866175
-100.0,100,15.40878
-100.0,100,17.958966
-100.0,100,20.320396
-100.0,100,22.398987
-100.0,100,24.455388
-100.0,100,26.444302
-100.0,100,28.514028
-100.0,100,30.597112
-100.0,100,32.671336
-100.0,100,34.716702
-100.0,100,36.774323
-100.0,100,38.813413
-100.0,100,40.836504
-97.0,100,43.092257
-87.0,100,45.146793
-97.0,100,47.206424
-100.0,100,49.618392
-65.0,100,52.139811
-100.0,100,54.653527
-80.0,100,57.209589
-68.0,100,59.688241
-95.0,100,61.601941
-89.0,100,63.708624
-78.0,100,65.816998
-56.0,100,67.812082
-31.0,100,69.868619
-41.0,100,71.931229
-35.0,100,74.011552
-93.0,100,76.093251
-92.0,100,78.186273
-23.0,100,80.226754
-27.0,100,82.068619
-25.0,100,84.132746
-58.0,100,86.19559
-36.0,100,88.276758
-60.0,100,90.362947
-19.0,100,92.434971
-10.0,100,94.505196
-8.0,100,96.487477
-64.0,100,98.455837
-100.0,100,100.287925
-14.0,100,102.284323
-89.0,100,104.329096
-45.0,100,106.442471
-32.0,100,108.500048
-12.0,100,118.521868
-16.0,100,120.192867
-15.0,100,121.519403
-18.0,100,123.602108
-69.0,100,125.670078
-46.0,100,127.794049
-15.0,100,129.898732
-29.0,100,132.021489
-15.0,100,134.139203
-17.0,100,136.206909
-17.0,100,138.268582
-23.0,100,140.347978
-10.0,100,142.436627
-55.0,100,144.512555
-18.0,100,146.590251
-71.0,100,148.641755
-30.0,100,150.699955
-12.0,100,152.773834
-8.0,100,154.868251
-10.0,100,156.96428
-13.0,100,159.098706
-39.0,100,161.225879
-7.0,100,163.335593
-34.0,100,165.458189
-16.0,100,167.534136
-100.0,100,169.659478
-15.0,100,171.789982
-3.0,100,173.896943
-20.0,100,176.008828
-10.0,100,178.107623
-14.0,100,180.155933
-12.0,100,182.249485
-10.0,100,184.309157
-12.0,100,186.355679
-12.0,100,188.43423
-22.0,100,190.537594
-22.0,100,192.580926
-94.0,100,194.637602
-57.0,100,196.712262
-4.0,100,198.746954
-17.0,100,200.815581
-15.0,100,202.897838
-6.0,100,205.001181
-8.0,100,207.123114
-11.0,100,209.225551
-20.0,100,211.268247
-10.0,100,213.313056
-18.0,100,215.37311
-17.0,100,217.434448
-18.0,100,219.501738
-4.0,100,227.726377
-11.0,100,228.676482
-12.0,100,229.617223
-13.0,100,230.702285
-26.0,100,232.212042
-14.0,100,233.149091
-10.0,100,234.069535
-12.0,100,234.999979
-20.0,100,235.928353
-16.0,100,236.865593
-19.0,100,237.798575
-10.0,100,238.722625
-6.0,100,239.664682
-20.0,100,240.594787
-16.0,100,242.04384
-10.0,100,244.061365
