#{"t_start": 1774403918.35652, "env_id": "None"}
r,l,t
-100.0,100,1.287736
-100.0,100,1.955131
-100.0,100,2.50779
-100.0,100,3.095065
-100.0,100,3.660476
-100.0,100,4.309834
-100.0,100,4.948305
-100.0,100,5.48872
-100.0,100,6.039163
-100.0,100,6.685493
-97.0,100,7.255886
-100.0,100,7.799877
-100.0,100,8.379925
-72.0,100,8.946034
-99.0,100,9.532999
-95.0,100,10.079689
-96.0,100,10.624971
-85.0,100,11.186317
-39.0,100,11.754139
-98.0,100,12.299004
-42.0,100,12.846713
-100.0,100,13.395226
-89.0,100,13.944493
-45.0,100,14.483186
-30.0,100,15.035859
-27.0,100,15.585607
-72.0,100,16.131669
-88.0,100,16.680308
-31.0,100,17.249192
-25.0,100,17.80261
-29.0,100,18.350188
-7.0,100,18.891131
-42.0,100,19.445782
-67.0,100,20.004848
-73.0,100,20.617841
-19.0,100,21.165025
-20.0,100,21.725923
-22.0,100,22.30341
-32.0,100,22.856803
-42.0,100,23.401974
-28.0,100,23.951967
-41.0,100,24.505236
-10.0,100,25.137624
-12.0,100,25.907819
-40.0,100,26.57354
-37.0,100,27.192583
-17.0,100,27.747972
-31.0,100,28.285398
-24.0,100,28.829374
-21.0,100,29.391309
-18.0,100,31.239241
-16.0,100,31.780871
-53.0,100,32.33323
-17.0,100,32.875983
-21.0,100,33.414871
-33.0,100,33.963828
-20.0,100,34.549077
-33.0,100,35.283425
-14.0,100,35.870165
-16.0,100,36.429006
-80.0,100,36.994477
-41.0,100,37.562877
-15.0,100,38.127307
-17.0,100,38.738732
-16.0,100,39.309651
-10.0,100,39.88708
-32.0,100,40.466173
-18.0,100,41.015753
-16.0,100,41.558789
-17.0,100,42.104298
-18.0,100,42.655597
-24.0,100,43.210046
-9.0,100,43.755601
-18.0,100,44.309964
-14.0,100,44.867716
-22.0,100,45.456107
-14.0,100,46.087081
-6.0,100,46.643924
-10.0,100,47.231109
-13.0,100,47.789166
-11.0,100,48.357527
-10.0,100,48.917836
-18.0,100,49.470053
-14.0,100,50.042027
-15.0,100,50.602723
-30.0,100,51.156443
-34.0,100,51.710624
-9.0,100,52.298683
-15.0,100,52.845566
-8.0,100,53.413178
-17.0,100,53.961327
-13.0,100,54.511078
-8.0,100,55.081091
-11.0,100,55.657265
-3.0,100,56.217813
-16.0,100,56.758377
-42.0,100,57.405191
-28.0,100,57.961307
-17.0,100,58.565064
-13.0,100,59.105231
-9.0,100,60.973081
-24.0,100,61.528573
-12.0,100,62.095179
-27.0,100,62.645376
-20.0,100,63.264927
-19.0,100,63.840223
-17.0,100,64.421825
