iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
1,8192,-106.6909,50.0,0.0000,2.1467,-0.003507,366.430735,4.250743,0.003825,677,12.1
2,16384,-111.0010,50.0,0.0000,2.1975,-0.001056,372.538945,4.240668,0.002105,1142,14.3
3,24576,-111.1180,50.0,0.0000,2.2150,-0.001344,366.234563,4.235208,0.002223,1480,16.6
4,32768,-110.1124,50.0,0.0000,2.2342,-0.001802,341.552367,4.224811,0.002223,1744,18.8
5,40960,-111.6915,50.0,0.0000,2.2318,-0.002801,345.849421,4.198606,0.002958,1953,21.0
6,49152,-112.1748,50.0,0.0000,2.2475,-0.001729,347.257433,4.184502,0.002309,2115,23.2
7,57344,-109.9069,50.0,0.0000,2.1918,-0.001772,341.539848,4.170456,0.002326,2247,25.5
8,65536,-110.8227,50.0,0.0000,2.1954,-0.001405,351.626122,4.153734,0.001818,2358,27.8
9,73728,-110.3243,50.0,0.0000,2.2191,-0.001064,349.683982,4.143351,0.001907,2443,30.2
10,81920,-108.5971,50.0,0.0000,2.2100,-0.001672,332.685583,4.129297,0.002390,2513,32.6
11,90112,-110.6094,50.0,0.0000,2.3175,-0.002234,328.399247,4.120396,0.002684,2585,34.9
12,98304,-109.8521,50.0,0.0000,2.1516,-0.001962,317.518118,4.114401,0.003443,2646,37.1
13,106496,-109.5334,50.0,0.0000,2.3199,-0.002034,316.683531,4.108213,0.003288,2704,39.4
14,114688,-107.7220,50.0,0.0000,2.2216,-0.001361,293.016595,4.101396,0.003277,2758,41.6
15,122880,-113.2977,50.0,0.0000,2.2931,-0.001609,333.661053,4.093386,0.002662,2807,43.8
16,131072,-109.0461,50.0,0.0000,2.1590,-0.001813,323.574133,4.089380,0.003191,2839,46.2
17,139264,-108.4030,50.0,0.0000,2.2077,-0.001824,326.460558,4.088174,0.003094,2878,48.4
18,147456,-107.9942,50.0,0.0000,2.2427,-0.001838,312.624509,4.086325,0.003623,2915,50.6
19,155648,-110.1152,50.0,0.0000,2.1047,-0.001896,310.769996,4.083315,0.003282,2950,52.8
20,163840,-106.2562,50.0,0.0000,2.1946,-0.002307,285.819949,4.084410,0.003968,2970,55.2
21,172032,-109.4343,50.0,0.0000,2.2523,-0.001837,300.157665,4.088973,0.003267,2988,57.6
22,180224,-109.5149,50.0,0.0000,2.2482,-0.001720,293.346919,4.089831,0.002737,3005,60.0
23,188416,-108.9711,50.0,0.0000,2.1169,-0.000778,297.862124,4.086358,0.001534,3022,62.3
24,196608,-105.7770,50.0,0.0000,2.2323,-0.001745,292.743941,4.081947,0.002865,3041,64.6
25,204800,-107.9851,50.0,0.0100,2.1602,-0.001924,296.517446,4.082010,0.002597,3059,66.9
26,212992,-106.7352,50.0,0.0000,2.1103,-0.001612,299.920477,4.081455,0.001722,3075,69.2
27,221184,-106.6070,50.0,0.0000,2.0101,-0.001967,280.989618,4.079844,0.003154,3084,71.7
28,229376,-109.2671,50.0,0.0000,2.1668,-0.002086,272.879829,4.079413,0.003118,3100,74.0
29,237568,-103.2214,50.0,0.0000,2.0441,-0.002121,250.981687,4.077929,0.002594,3113,76.3
30,245760,-104.2682,50.0,0.0000,2.0374,-0.001407,250.266199,4.077886,0.002003,3127,78.6
31,253952,-104.2095,50.0,0.0000,1.9466,-0.001412,249.964263,4.074375,0.001854,3145,80.7
32,262144,-102.5569,50.0,0.0000,2.0528,-0.001418,256.293114,4.069471,0.001862,3161,82.9
33,270336,-100.3941,50.0,0.0000,1.9624,-0.001410,253.146940,4.066679,0.001732,3175,85.1
34,278528,-104.0727,50.0,0.0000,2.1029,-0.001821,256.746938,4.065484,0.001815,3187,87.4
35,286720,-100.8556,50.0,0.0000,1.9560,-0.002104,248.207218,4.065748,0.002039,3199,89.6
36,294912,-103.2400,50.0,0.0000,1.9397,-0.002183,239.787762,4.065971,0.002214,3210,91.9
37,303104,-99.7141,50.0,0.0000,2.0536,-0.001572,217.817704,4.064989,0.001989,3221,94.1
38,311296,-103.9734,50.0,0.0000,2.0436,-0.002541,234.734757,4.064237,0.003325,3232,96.3
39,319488,-100.7491,50.0,0.0000,1.9774,-0.001882,225.287972,4.062964,0.002356,3243,98.5
40,327680,-99.4295,50.0,0.0000,1.9724,-0.002653,221.178699,4.061502,0.002757,3254,100.7
41,335872,-94.1838,50.0,0.0000,1.7961,-0.001990,216.480557,4.059891,0.002465,3265,102.9
42,344064,-94.2580,50.0,0.0000,1.8435,-0.002066,195.909259,4.059202,0.001933,3272,105.1
43,352256,-96.6868,50.0,0.0000,1.8893,-0.002063,206.926861,4.057878,0.002389,3279,107.4
44,360448,-95.7326,50.0,0.0000,1.8117,-0.001062,201.038099,4.056458,0.001420,3288,109.6
45,368640,-97.3554,50.0,0.0100,1.7788,-0.002764,199.562893,4.056707,0.002204,3294,111.9
46,376832,-94.6489,50.0,0.0000,1.9607,-0.001616,191.195729,4.056845,0.001716,3299,114.2
47,385024,-95.8787,50.0,0.0000,1.7477,-0.002694,193.065590,4.055658,0.002484,3306,116.4
48,393216,-91.4689,50.0,0.0000,1.8042,-0.002462,179.590656,4.054915,0.002390,3310,118.8
49,401408,-91.5233,50.0,0.0000,1.7864,-0.002773,188.523064,4.054194,0.002624,3317,121.0
50,409600,-90.5474,50.0,0.0000,1.7164,-0.001783,191.546181,4.052642,0.001508,3323,123.3
51,417792,-88.6396,50.0,0.0000,1.7348,-0.001471,176.818100,4.051309,0.001391,3330,125.4
52,425984,-82.7087,50.0,0.0000,1.5094,-0.001694,156.596603,4.049806,0.001295,3336,127.7
53,434176,-89.9664,50.0,0.0000,1.6816,-0.002936,161.242871,4.049144,0.002326,3343,129.9
54,442368,-84.6672,50.0,0.0000,1.6910,-0.001794,146.481363,4.049445,0.001891,3349,132.1
55,450560,-85.1809,50.0,0.0000,1.6708,-0.002664,145.946761,4.050117,0.002582,3355,134.3
56,458752,-87.9110,50.0,0.0000,1.6662,-0.002690,160.442978,4.048734,0.002643,3361,136.5
57,466944,-88.6616,50.0,0.0000,1.6496,-0.001891,154.065164,4.048774,0.001906,3361,138.9
58,475136,-85.8403,50.0,0.0000,1.6221,-0.001820,159.709935,4.047210,0.001582,3363,141.3
59,483328,-84.4527,50.0,0.0000,1.4786,-0.002042,149.903964,4.046261,0.001949,3365,143.6
60,491520,-83.8690,50.0,0.0000,1.6586,-0.001885,142.411235,4.044443,0.001878,3366,146.0
61,499712,-85.0078,50.0,0.0000,1.5780,-0.002442,142.734521,4.042472,0.002493,3367,148.4
62,507904,-77.3030,50.0,0.0000,1.4862,-0.002587,121.051395,4.042399,0.002159,3359,151.2
63,516096,-85.6354,50.0,0.0100,1.6299,-0.002551,139.123685,4.042064,0.002753,3356,153.7
64,524288,-81.2267,50.0,0.0000,1.4610,-0.001819,129.309659,4.041079,0.001751,3360,156.0
65,532480,-80.6068,50.0,0.0000,1.5071,-0.002516,131.695958,4.038717,0.002495,3362,158.3
66,540672,-84.4230,50.0,0.0000,1.5583,-0.001865,138.459881,4.036944,0.002225,3364,160.7
67,548864,-85.2393,50.0,0.0000,1.6864,-0.002461,142.983131,4.035867,0.002943,3366,163.0
68,557056,-80.2838,50.0,0.0000,1.5040,-0.001776,127.888994,4.034945,0.002023,3366,165.5
69,565248,-80.2287,50.0,0.0000,1.4458,-0.001679,125.269387,4.034225,0.002030,3369,167.8
70,573440,-80.3227,50.0,0.0000,1.3708,-0.001468,117.887312,4.034625,0.001589,3370,170.1
71,581632,-74.9860,50.0,0.0000,1.4471,-0.001830,110.647528,4.033170,0.002033,3371,172.5
72,589824,-81.6391,50.0,0.0000,1.5510,-0.001988,119.900826,4.030921,0.002842,3373,174.8
73,598016,-78.4566,50.0,0.0000,1.4562,-0.002096,119.238697,4.029555,0.002078,3373,177.2
74,606208,-77.8973,50.0,0.0000,1.4069,-0.002988,122.643950,4.029605,0.003184,3374,179.7
75,614400,-79.5061,50.0,0.0000,1.4918,-0.002276,129.715032,4.029792,0.002462,3375,182.0
76,622592,-73.3279,50.0,0.0000,1.3514,-0.002543,113.108821,4.028279,0.002778,3376,184.4
77,630784,-81.6586,50.0,0.0000,1.4878,-0.002417,125.007281,4.025783,0.002631,3377,186.7
78,638976,-74.7837,50.0,0.0000,1.3431,-0.002241,100.931455,4.023963,0.002669,3378,189.2
79,647168,-76.3374,50.0,0.0000,1.3033,-0.003100,105.713053,4.023024,0.002961,3380,191.4
80,655360,-76.6063,50.0,0.0000,1.3525,-0.003089,103.887613,4.021809,0.003218,3382,193.8
81,663552,-77.3241,50.0,0.0000,1.4028,-0.002556,109.330867,4.019625,0.002746,3383,196.1
82,671744,-71.1743,50.0,0.0000,1.3124,-0.002647,111.008516,4.017392,0.002810,3383,198.5
83,679936,-73.2125,50.0,0.0100,1.4171,-0.002948,109.905067,4.017549,0.002768,3384,200.9
84,688128,-73.0697,50.0,0.0000,1.3603,-0.001418,107.265454,4.019419,0.001839,3384,203.3
85,696320,-73.5609,50.0,0.0000,1.2999,-0.002074,103.093579,4.020214,0.002245,3384,205.8
86,704512,-73.9145,50.0,0.0000,1.4005,-0.003601,101.070336,4.019124,0.003732,3385,208.1
87,712704,-73.2446,50.0,0.0100,1.2366,-0.002069,100.263995,4.017399,0.002200,3386,210.4
88,720896,-70.7448,50.0,0.0000,1.3382,-0.002247,100.643827,4.016571,0.002468,3387,212.8
89,729088,-75.2491,50.0,0.0000,1.3796,-0.002272,113.276760,4.014488,0.002542,3389,215.1
90,737280,-76.5982,50.0,0.0000,1.5799,-0.001977,109.619271,4.014110,0.002594,3389,217.5
91,745472,-72.7013,50.0,0.0000,1.3865,-0.001361,100.753871,4.013600,0.001694,3390,219.9
92,753664,-73.1506,50.0,0.0000,1.3365,-0.002420,110.732359,4.012594,0.002392,3392,222.1
93,761856,-74.0226,50.0,0.0000,1.3771,-0.003865,108.645727,4.009490,0.003927,3394,224.4
94,770048,-70.3028,50.0,0.0000,1.2852,-0.002886,98.379748,4.006875,0.002679,3396,226.7
95,778240,-75.4937,50.0,0.0000,1.3644,-0.002838,107.094920,4.004658,0.002839,3396,229.2
96,786432,-68.9077,50.0,0.0000,1.1683,-0.002238,93.250351,4.001753,0.002812,3396,231.6
97,794624,-77.8217,50.0,0.0000,1.4659,-0.002641,107.020565,4.001949,0.002708,3395,234.0
98,802816,-73.1672,50.0,0.0000,1.4786,-0.002730,105.688235,4.000971,0.002968,3396,236.4
99,811008,-74.6317,50.0,0.0000,1.4308,-0.002835,107.931113,3.999172,0.002713,3397,238.7
100,819200,-71.0188,50.0,0.0000,1.3759,-0.004360,106.810549,3.999666,0.004332,3399,241.0
101,827392,-72.4175,50.0,0.0000,1.3905,-0.002027,105.768240,3.998256,0.002425,3398,243.4
102,835584,-71.2135,50.0,0.0000,1.3678,-0.002540,101.551430,3.996560,0.002527,3399,245.8
103,843776,-74.7608,50.0,0.0000,1.3145,-0.003271,107.854224,3.994441,0.003361,3401,248.1
104,851968,-69.5648,50.0,0.0000,1.2680,-0.004377,95.853293,3.993427,0.004170,3403,250.3
