iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
1,8192,-108.6811,50.0,0.0000,2.1820,-0.004054,385.897884,4.248167,0.004086,3551,2.3
2,16384,-111.0202,50.0,0.0000,2.2275,-0.000913,384.060106,4.232627,0.001505,4024,4.1
3,24576,-111.9132,50.0,0.0000,2.2155,-0.001395,381.109435,4.226408,0.001973,4186,5.9
4,32768,-115.4802,50.0,0.0000,2.3214,-0.001501,365.140174,4.215494,0.001883,4286,7.6
5,40960,-111.3755,50.0,0.0000,2.1819,-0.001942,355.168201,4.190433,0.002474,4333,9.5
6,49152,-114.2486,50.0,0.0000,2.1830,-0.001889,359.422969,4.173503,0.002403,4356,11.3
7,57344,-111.4334,50.0,0.0000,2.1104,-0.002092,351.694807,4.158739,0.002501,4371,13.1
8,65536,-113.0311,50.0,0.0000,2.1588,-0.001332,363.625886,4.142134,0.002088,4394,14.9
9,73728,-110.5939,50.0,0.0000,2.1801,-0.001934,359.541932,4.132991,0.002718,4398,16.8
10,81920,-109.8128,50.0,0.0000,2.1822,-0.001731,340.211028,4.121007,0.002338,4414,18.6
11,90112,-106.9987,50.0,0.0000,2.1584,-0.002462,330.128422,4.114545,0.002758,4421,20.4
12,98304,-110.3740,50.0,0.0000,2.1052,-0.001281,329.320766,4.114069,0.002510,4430,22.2
13,106496,-109.6237,50.0,0.0000,2.1395,-0.001451,318.184888,4.112604,0.002954,4442,24.0
14,114688,-108.0146,50.0,0.0000,2.1157,-0.000594,310.612505,4.108661,0.002248,4422,25.9
15,122880,-108.3646,50.0,0.0000,2.1061,-0.001597,322.456884,4.101386,0.004291,4414,27.8
16,131072,-109.5636,50.0,0.0000,2.2280,-0.001808,340.144342,4.092810,0.003134,4420,29.7
17,139264,-108.4489,50.0,0.0000,2.1988,-0.001636,326.296577,4.089210,0.002481,4428,31.4
18,147456,-106.5345,50.0,0.0000,2.1695,-0.001781,320.474553,4.086874,0.003250,4440,33.2
19,155648,-113.3416,50.0,0.0000,2.1840,-0.001256,328.718712,4.084049,0.002875,4446,35.0
20,163840,-106.4634,50.0,0.0000,2.0983,-0.001496,288.894119,4.085611,0.002752,4448,36.8
21,172032,-105.8539,50.0,0.0000,2.1545,-0.001411,288.820699,4.089231,0.002549,4456,38.6
22,180224,-108.6799,50.0,0.0000,2.0844,-0.001837,296.515627,4.090000,0.003372,4464,40.4
23,188416,-109.4475,50.0,0.0000,2.1166,-0.001685,301.970512,4.088118,0.002395,4464,42.2
24,196608,-103.3405,50.0,0.0000,2.0205,-0.001870,295.832711,4.084058,0.002255,4463,44.0
25,204800,-105.6993,50.0,0.0000,2.1017,-0.001806,304.711960,4.083606,0.001969,4464,45.9
26,212992,-107.5100,50.0,0.0000,2.1523,-0.002124,302.537535,4.082669,0.003357,4466,47.7
27,221184,-105.6924,50.0,0.0000,2.0176,-0.001997,281.976743,4.081794,0.002511,4459,49.6
28,229376,-101.5969,50.0,0.0000,1.9571,-0.001929,254.356402,4.079841,0.002574,4454,51.5
29,237568,-97.8262,50.0,0.0000,1.9139,-0.002137,225.483403,4.076851,0.001980,4447,53.4
30,245760,-96.2464,50.0,0.0000,1.7942,-0.002935,226.868920,4.074971,0.003217,4438,55.4
31,253952,-96.3100,50.0,0.0000,1.8037,-0.002650,229.146307,4.072234,0.002698,4431,57.3
32,262144,-97.6255,50.0,0.0000,1.6818,-0.003249,238.406436,4.069235,0.002858,4425,59.2
33,270336,-91.1743,50.0,0.0000,1.6928,-0.001603,211.427360,4.066660,0.001560,4419,61.2
34,278528,-94.4021,50.0,0.0000,1.6583,-0.002577,204.953959,4.064862,0.002186,4414,63.1
35,286720,-87.0503,50.0,0.0000,1.5239,-0.001979,185.934432,4.065415,0.001921,4410,65.0
36,294912,-86.2256,50.0,0.0000,1.5209,-0.002482,171.259184,4.065639,0.002103,4398,67.0
37,303104,-83.2396,50.0,0.0000,1.3362,-0.002618,149.455993,4.065506,0.002512,4390,69.0
