iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
1,4096,-107.7298,50.0,0.0000,2.1941,-0.002475,368.273907,4.246597,0.007499,1795,2.3
2,8192,-109.2244,50.0,0.0000,2.1810,-0.004246,352.415696,4.215381,0.005724,2290,3.6
3,12288,-112.7628,50.0,0.0000,2.2579,-0.004224,362.099356,4.188489,0.004666,2492,4.9
4,16384,-113.8852,50.0,0.0000,2.2664,-0.005041,360.602528,4.119546,0.005945,2623,6.2
5,20480,-114.5733,50.0,0.0000,2.3273,-0.004913,338.720785,4.065088,0.006026,2660,7.7
6,24576,-110.4330,50.0,0.0000,2.1208,-0.006625,305.347520,4.022200,0.006952,2695,9.1
7,28672,-110.2034,50.0,0.0000,2.2485,-0.006269,327.149039,3.978267,0.008275,2721,10.5
8,32768,-106.5286,50.0,0.0000,2.2602,-0.004560,323.774329,3.914859,0.007869,2732,12.0
9,36864,-106.7361,50.0,0.0000,2.0959,-0.007170,313.252395,3.858757,0.006677,2748,13.4
10,40960,-104.2866,50.0,0.0000,2.0909,-0.006075,280.480042,3.834564,0.006975,2761,14.8
11,45056,-104.0386,50.0,0.0000,1.9569,-0.005560,280.890923,3.823451,0.005913,2795,16.1
12,49152,-106.9207,50.0,0.0000,2.1174,-0.006618,292.221397,3.793900,0.007954,2813,17.5
13,53248,-105.3639,50.0,0.0000,2.1555,-0.009536,266.531151,3.777898,0.007385,2837,18.8
14,57344,-105.9423,50.0,0.0000,2.0586,-0.007828,269.481575,3.767837,0.007835,2856,20.1
15,61440,-106.1626,50.0,0.0000,1.9943,-0.006847,288.538491,3.728667,0.006843,2875,21.4
16,65536,-102.6950,50.0,0.0000,1.9773,-0.007893,255.290937,3.701472,0.007303,2878,22.8
17,69632,-98.2218,50.0,0.0000,1.8630,-0.007808,246.924688,3.696445,0.006340,2860,24.3
18,73728,-96.8683,50.0,0.0100,1.9232,-0.006272,233.157219,3.700234,0.006611,2863,25.7
19,77824,-98.1907,50.0,0.0000,1.8715,-0.007678,238.478471,3.696479,0.006690,2864,27.2
20,81920,-100.7301,50.0,0.0000,1.8671,-0.009546,246.147205,3.699287,0.008453,2879,28.4
21,86016,-100.1730,50.0,0.0000,1.9047,-0.007618,234.346408,3.699043,0.009267,2884,29.8
22,90112,-100.1324,50.0,0.0000,1.8289,-0.009082,255.097214,3.695106,0.006702,2898,31.1
23,94208,-100.8726,50.0,0.0000,1.8603,-0.008662,237.636376,3.693461,0.007368,2914,32.3
24,98304,-96.5865,50.0,0.0000,1.8015,-0.009127,218.516993,3.671136,0.007395,2927,33.6
25,102400,-90.9349,50.0,0.0000,1.6922,-0.006671,190.550924,3.652370,0.006531,2937,34.9
26,106496,-96.7154,50.0,0.0000,1.6986,-0.007080,249.579255,3.652675,0.007297,2945,36.2
27,110592,-97.4303,50.0,0.0000,1.8326,-0.006925,213.926554,3.640058,0.008760,2951,37.5
28,114688,-99.4850,50.0,0.0000,1.8450,-0.008487,215.175484,3.627310,0.006729,2952,38.8
29,118784,-86.7288,50.0,0.0000,1.5730,-0.008085,169.740728,3.598308,0.008532,2953,40.2
30,122880,-89.3291,50.0,0.0000,1.5950,-0.002168,190.958216,3.582976,0.015158,2957,41.5
31,126976,-88.4640,50.0,0.0000,1.5668,-0.008251,179.291926,3.564230,0.008872,2953,43.0
32,131072,-87.8914,50.0,0.0000,1.4781,-0.008138,174.341876,3.551063,0.008474,2953,44.4
33,135168,-84.0708,50.0,0.0100,1.3265,-0.005778,182.650156,3.531929,0.007426,2951,45.8
34,139264,-78.7069,50.0,0.0000,1.2720,-0.008772,124.796017,3.512567,0.007749,2954,47.1
35,143360,-77.7715,50.0,0.0000,1.2147,-0.006859,134.291373,3.489647,0.009758,2956,48.5
36,147456,-76.4423,50.0,0.0000,1.2736,-0.007873,115.316756,3.477834,0.009206,2959,49.8
37,151552,-76.4669,50.0,0.0000,1.1874,-0.009548,127.333260,3.461221,0.007874,2963,51.1
38,155648,-75.4766,50.0,0.0000,1.1786,-0.006204,119.005819,3.439126,0.010216,2963,52.5
39,159744,-79.3737,50.0,0.0000,1.2353,-0.007179,150.902565,3.438578,0.008657,2968,53.8
40,163840,-77.7916,50.0,0.0000,1.1963,0.000571,126.494723,3.446924,0.017636,2969,55.2
41,167936,-77.7742,50.0,0.0000,1.3326,-0.005963,152.783456,3.436654,0.012910,2971,56.5
42,172032,-78.6807,50.0,0.0000,1.3158,-0.007313,135.252856,3.427808,0.012028,2968,58.0
43,176128,-79.4265,50.0,0.0000,1.3738,-0.003186,142.618679,3.405354,0.014419,2967,59.4
44,180224,-78.8349,50.0,0.0000,1.3048,-0.000361,122.866229,3.383458,0.018488,2969,60.7
45,184320,-76.2410,50.0,0.0000,1.2652,-0.002011,114.289441,3.379584,0.014487,2972,62.0
46,188416,-71.2799,50.0,0.0000,1.2530,-0.007542,101.110233,3.386674,0.009743,2970,63.4
47,192512,-69.8842,50.0,0.0000,1.1033,-0.003796,95.771059,3.380266,0.015005,2964,64.9
48,196608,-70.0495,50.0,0.0000,1.0844,-0.003066,92.635344,3.353978,0.016812,2952,66.6
49,200704,-68.4486,50.0,0.0000,1.1273,-0.002432,104.306025,3.348862,0.011458,2944,68.2
50,204800,-72.3583,50.0,0.0000,1.0815,-0.010553,104.796672,3.328471,0.011751,2938,69.7
51,208896,-68.0057,50.0,0.0000,1.1155,-0.005856,92.691945,3.320598,0.012320,2931,71.3
52,212992,-69.8991,50.0,0.0100,1.1073,-0.002017,94.498996,3.324310,0.019627,2926,72.8
53,217088,-64.5273,50.0,0.0100,0.9852,-0.006101,75.060272,3.321187,0.013290,2929,74.1
54,221184,-70.1357,50.0,0.0000,1.0134,-0.005614,92.480865,3.300653,0.012589,2930,75.5
55,225280,-67.6460,50.0,0.0000,0.9354,-0.010421,95.489017,3.295285,0.013981,2932,76.8
56,229376,-70.6731,50.0,0.0000,1.0165,-0.009889,84.574987,3.284942,0.014650,2930,78.3
57,233472,-64.8660,50.0,0.0000,1.0694,-0.007747,83.532477,3.280271,0.014225,2933,79.6
58,237568,-63.9411,50.0,0.0100,0.9614,-0.011281,74.193132,3.247594,0.013208,2934,81.0
