#{"t_start": 1774403489.0875401, "env_id": "None"}
r,l,t
-100.0,100,2.947078
-100.0,100,6.688062
-100.0,100,10.164462
-100.0,100,13.707091
-100.0,100,17.259727
-100.0,100,20.815747
-100.0,100,24.342022
-100.0,100,27.841578
-100.0,100,31.373286
-100.0,100,34.924794
-100.0,100,38.47662
-100.0,100,42.010374
-100.0,100,45.635163
-100.0,100,49.177654
-100.0,100,52.737237
-100.0,100,56.295079
-100.0,100,59.824411
-99.0,100,63.343807
-100.0,100,66.861765
-99.0,100,70.369227
-97.0,100,73.877445
-100.0,100,77.384358
-99.0,100,80.99089
-95.0,100,84.555034
-32.0,100,88.090905
-83.0,100,91.6491
-90.0,100,95.204467
-90.0,100,98.770524
-100.0,100,102.375899
-44.0,100,105.965475
-36.0,100,109.540923
-14.0,100,113.099895
-92.0,100,116.636398
-71.0,100,120.134124
-96.0,100,123.646902
-39.0,100,127.172097
-20.0,100,130.693572
-28.0,100,134.218215
-88.0,100,137.75162
-82.0,100,141.339873
-67.0,100,144.868461
-37.0,100,148.374498
-14.0,100,151.845719
-33.0,100,155.300049
-71.0,100,158.810674
-54.0,100,162.315113
-27.0,100,165.831721
-55.0,100,169.335086
-41.0,100,172.880573
-25.0,100,176.420708
-12.0,100,187.427218
-21.0,100,190.937299
-17.0,100,194.454878
-21.0,100,197.89424
-26.0,100,201.332852
-64.0,100,204.752173
-11.0,100,208.212575
-17.0,100,211.694676
-12.0,100,215.218138
-17.0,100,218.723666
-18.0,100,222.234052
-26.0,100,225.740513
-16.0,100,229.220765
-23.0,100,232.72097
-27.0,100,236.253393
-96.0,100,239.769484
-26.0,100,243.263425
-9.0,100,246.74697
-6.0,100,250.250645
-14.0,100,253.743221
-7.0,100,257.236322
-27.0,100,260.854637
