#{"t_start": 1774345005.0636501, "env_id": "None"}
r,l,t
-50.0,50,1.256008
-50.0,50,1.268988
-50.0,50,2.227408
-50.0,50,3.134073
-50.0,50,4.059922
-50.0,50,4.990504
-50.0,50,5.91179
-50.0,50,6.827275
-50.0,50,7.721927
-50.0,50,8.651087
-50.0,50,9.556598
-50.0,50,10.475816
-50.0,50,11.368707
-50.0,50,12.284049
-50.0,50,13.256476
-50.0,50,14.180635
-50.0,50,15.089187
-50.0,50,16.007602
-50.0,50,16.910267
-48.0,50,17.817261
-49.0,50,18.736199
-50.0,50,19.655422
-50.0,50,20.557579
-50.0,50,21.523183
-49.0,50,22.463198
-37.0,50,23.413945
-47.0,50,24.343849
-48.0,50,25.271836
-43.0,50,26.202173
-26.0,50,27.142957
-38.0,50,28.062169
-10.0,50,29.120519
-36.0,50,30.047804
-49.0,50,30.957378
-37.0,50,31.922205
-29.0,50,33.11346
-37.0,50,34.072753
-31.0,50,34.999092
-48.0,50,35.892893
-46.0,50,36.794031
-20.0,50,37.722666
-39.0,50,38.830354
-12.0,50,39.934665
-12.0,50,40.915269
-25.0,50,41.868981
-35.0,50,42.780191
-18.0,50,43.704951
-30.0,50,44.633996
-46.0,50,45.557609
-28.0,50,46.484728
-21.0,50,47.400396
-17.0,50,48.37184
-41.0,50,49.298157
-13.0,50,50.192204
-25.0,50,51.082212
-31.0,50,51.968328
-4.0,50,53.205522
-37.0,50,54.204655
-11.0,50,55.179641
-19.0,50,56.086319
-39.0,50,57.007639
-37.0,50,57.963676
-23.0,50,58.855317
-30.0,50,59.762275
-12.0,50,60.66295
-20.0,50,61.564181
-32.0,50,62.446419
-20.0,50,63.33121
-12.0,50,64.236647
-14.0,50,65.138451
-34.0,50,66.026277
-37.0,50,66.910637
-7.0,50,67.807329
-3.0,50,68.726017
-9.0,50,69.644033
-26.0,50,70.544838
-8.0,50,71.732096
-4.0,50,72.74885
-24.0,50,73.64361
-21.0,50,74.54792
-13.0,50,75.475157
-12.0,50,76.374431
-13.0,50,77.286805
-10.0,50,78.182851
-9.0,50,79.101917
-15.0,50,80.028699
-24.0,50,80.939478
-21.0,50,81.84808
-14.0,50,82.73646
-5.0,50,83.704284
-13.0,50,84.615336
-11.0,50,85.506601
-15.0,50,86.427355
-9.0,50,87.323274
-11.0,50,88.245581
-26.0,50,89.138901
-21.0,50,90.045549
-19.0,50,90.956771
-10.0,50,91.899339
-16.0,50,92.796448
-7.0,50,94.432791
-22.0,50,95.3525
-11.0,50,96.253999
-14.0,50,97.147041
-13.0,50,98.049734
-11.0,50,98.967924
-7.0,50,99.854985
-12.0,50,100.737141
-13.0,50,101.638527
-20.0,50,102.532822
-17.0,50,103.421188
-11.0,50,104.35098
-7.0,50,105.374127
-9.0,50,106.345228
-16.0,50,107.270953
-7.0,50,108.17986
-21.0,50,109.097122
-17.0,50,110.016002
-19.0,50,110.957848
-13.0,50,111.875431
-15.0,50,112.797556
-15.0,50,113.70851
-10.0,50,114.631933
-17.0,50,115.525508
-6.0,50,116.440383
-12.0,50,117.342767
-10.0,50,118.239225
-9.0,50,119.173107
-27.0,50,120.088984
-2.0,50,121.000375
-15.0,50,121.900859
-36.0,50,122.803661
-12.0,50,123.707256
-8.0,50,124.629344
-12.0,50,125.537942
-20.0,50,126.440728
-11.0,50,127.346633
-3.0,50,128.334996
-11.0,50,129.254563
-11.0,50,130.187486
-10.0,50,131.109325
-10.0,50,132.046701
-10.0,50,132.963956
-8.0,50,133.862917
-50.0,50,134.783717
-11.0,50,135.697947
-8.0,50,136.600708
-7.0,50,137.508858
-16.0,50,138.425046
-11.0,50,139.368181
-8.0,50,140.269895
-13.0,50,141.17058
-28.0,50,142.086763
-12.0,50,143.000443
-48.0,50,143.903001
-11.0,50,144.806159
-23.0,50,145.715069
-6.0,50,146.632631
-13.0,50,147.537922
-12.0,50,148.460098
-18.0,50,149.381335
-13.0,50,150.296654
-16.0,50,151.263386
-8.0,50,152.189314
-11.0,50,153.129771
-18.0,50,154.064454
-7.0,50,154.976473
-10.0,50,155.885124
-9.0,50,156.818522
-9.0,50,157.74452
-6.0,50,158.67079
-18.0,50,159.586874
-11.0,50,160.515423
-10.0,50,161.442674
-5.0,50,162.367153
-6.0,50,163.292187
-20.0,50,164.260119
-15.0,50,165.201121
-5.0,50,166.127924
-13.0,50,167.064476
-26.0,50,167.98829
-20.0,50,168.932571
-14.0,50,169.902067
-11.0,50,170.818515
-14.0,50,171.827383
-12.0,50,172.867363
-16.0,50,173.764692
-10.0,50,174.666548
-13.0,50,175.580857
-12.0,50,176.490526
-12.0,50,177.383992
-11.0,50,178.305533
-7.0,50,179.202935
-2.0,50,180.187966
-8.0,50,181.083399
-10.0,50,182.091585
-22.0,50,182.99599
-15.0,50,183.900197
-9.0,50,184.800101
-15.0,50,185.694847
-8.0,50,187.269818
-18.0,50,188.225214
-13.0,50,189.130319
-12.0,50,190.030826
-19.0,50,190.933299
-13.0,50,191.836028
-11.0,50,192.736982
-9.0,50,193.629682
-9.0,50,194.545324
-9.0,50,195.504008
-12.0,50,196.404215
-14.0,50,197.300168
-20.0,50,198.203384
-12.0,50,199.120155
-12.0,50,200.15598
-14.0,50,201.053485
-17.0,50,201.957496
-12.0,50,202.866111
-10.0,50,203.759238
-6.0,50,204.722059
-12.0,50,205.702739
-8.0,50,206.74989
-17.0,50,207.750403
-15.0,50,208.668078
-6.0,50,209.590845
-6.0,50,210.497047
-9.0,50,211.390804
-20.0,50,212.331885
-9.0,50,213.226063
-19.0,50,214.248547
-10.0,50,215.202526
-12.0,50,216.240776
-11.0,50,217.250683
-8.0,50,218.228138
-14.0,50,219.250523
-11.0,50,220.197375
-11.0,50,221.109702
-10.0,50,222.067569
-9.0,50,223.017241
-19.0,50,224.058104
-20.0,50,225.124667
-14.0,50,226.107595
-7.0,50,227.184488
-6.0,50,228.173
-12.0,50,229.117333
-7.0,50,230.028737
-15.0,50,230.92051
-16.0,50,231.811273
-9.0,50,232.731095
-10.0,50,233.630819
-13.0,50,234.529042
-16.0,50,235.421143
-32.0,50,236.327552
-9.0,50,237.282881
-14.0,50,238.185315
-16.0,50,239.076753
-8.0,50,239.978633
-13.0,50,240.89052
-21.0,50,241.784944
-46.0,50,242.734974
-9.0,50,243.767765
-17.0,50,244.743992
-6.0,50,245.759678
-18.0,50,246.768784
-14.0,50,247.749985
-38.0,50,248.768997
-9.0,50,249.802654
-15.0,50,250.856683
-8.0,50,252.098401
-16.0,50,253.339312
-13.0,50,254.554838
-10.0,50,255.745367
-12.0,50,256.672147
-6.0,50,257.597061
-8.0,50,258.489115
-15.0,50,259.38097
-14.0,50,260.286994
-9.0,50,261.183828
-8.0,50,262.086731
-13.0,50,262.973762
-9.0,50,263.862164
-7.0,50,264.775841
-11.0,50,265.665108
-10.0,50,266.550932
-7.0,50,267.452681
-8.0,50,268.353212
-6.0,50,269.266237
-14.0,50,270.15519
-8.0,50,271.055593
-18.0,50,271.976219
-7.0,50,272.871293
-12.0,50,273.755603
-12.0,50,274.654487
-37.0,50,275.557822
-10.0,50,276.458365
-9.0,50,277.347866
-14.0,50,278.25226
-9.0,50,279.155741
-1.0,50,280.04852
-11.0,50,280.935369
-11.0,50,282.492191
-5.0,50,283.533751
-15.0,50,284.455804
-26.0,50,285.348092
-16.0,50,286.252031
-12.0,50,287.148895
-16.0,50,288.040253
-13.0,50,288.92849
-11.0,50,289.863009
-11.0,50,290.768774
-17.0,50,291.658441
-18.0,50,292.544748
-11.0,50,293.45435
-11.0,50,294.371161
-29.0,50,295.264952
-16.0,50,296.160389
-11.0,50,297.05063
-11.0,50,297.956723
-12.0,50,298.846444
-19.0,50,299.73877
-11.0,50,300.648103
-9.0,50,301.546356
-9.0,50,302.435821
-6.0,50,303.323997
-7.0,50,304.215035
-8.0,50,305.125521
-11.0,50,306.026029
-16.0,50,306.921149
-9.0,50,307.816482
-16.0,50,308.733041
-10.0,50,309.627434
-12.0,50,310.514152
-14.0,50,311.468781
-17.0,50,312.367606
-18.0,50,313.259406
-8.0,50,314.146859
-14.0,50,315.056699
-15.0,50,315.955989
-6.0,50,316.852481
-13.0,50,317.748373
-19.0,50,318.64099
-7.0,50,319.55279
-11.0,50,320.440354
-12.0,50,321.329859
-8.0,50,322.235684
-14.0,50,323.140113
-17.0,50,324.053345
-19.0,50,324.949217
-14.0,50,325.853515
-14.0,50,326.763381
-6.0,50,327.687362
-21.0,50,328.593582
-12.0,50,329.526911
-20.0,50,330.446844
-11.0,50,331.339446
-9.0,50,332.270951
-7.0,50,333.22833
-12.0,50,334.1549
-14.0,50,335.050835
-12.0,50,335.938306
-19.0,50,336.84843
-9.0,50,337.752625
-8.0,50,338.64315
-17.0,50,339.537041
-11.0,50,340.438796
-13.0,50,341.402612
-6.0,50,342.344857
-13.0,50,343.250844
-9.0,50,344.202132
-11.0,50,345.134695
-26.0,50,346.059063
-15.0,50,346.975001
-17.0,50,347.889967
-23.0,50,348.806146
-6.0,50,349.734578
-6.0,50,350.639071
-4.0,50,351.58278
-5.0,50,352.501406
-11.0,50,353.392737
-9.0,50,354.301729
-13.0,50,355.22384
-13.0,50,356.132971
-11.0,50,357.027754
-16.0,50,357.931499
-27.0,50,358.859722
-14.0,50,359.774913
-12.0,50,360.684584
-16.0,50,361.575581
-11.0,50,362.482517
-9.0,50,363.380086
-9.0,50,364.272054
-15.0,50,365.168453
-11.0,50,366.083953
-15.0,50,367.042206
-9.0,50,367.998639
-21.0,50,368.893492
-10.0,50,369.798311
-6.0,50,370.718701
-9.0,50,371.615313
-12.0,50,372.512502
-11.0,50,374.071179
-8.0,50,374.986391
-6.0,50,375.921846
-23.0,50,376.817457
-13.0,50,377.757791
-14.0,50,378.665034
-9.0,50,379.564164
-10.0,50,380.460947
-14.0,50,381.373977
-22.0,50,382.292657
-11.0,50,383.270807
-14.0,50,384.210672
-12.0,50,385.122306
-8.0,50,386.029744
-3.0,50,387.126494
-7.0,50,388.069183
-9.0,50,389.127652
-7.0,50,390.074495
-21.0,50,391.024544
-17.0,50,391.939429
-5.0,50,392.88423
-23.0,50,393.867878
-12.0,50,394.828254
-10.0,50,395.764493
-13.0,50,396.742117
-20.0,50,397.690903
-12.0,50,398.633515
-28.0,50,399.571675
-8.0,50,400.513772
-7.0,50,401.471179
